latlon,map.links,listing,event.dates,event.location.links
"(33.98894, -84.09385)",http://clatl.com/atlanta/Map?oid=15295447,"
      
      
        
CL Recommends

        
        
          Dolly Parton
        
        
        
      

      

      

      
         Sat., June 4, 7:30 p.m.
      
      
      
      

      
      Folk/Country, Summer Guide, Saturday

      
        
           
          You know who Dolly Parton is. You do not need me to tell you, just like you donâ€™t need me to explain Madonna, Oprah, or Jesus. Some things in life, including upbeat, glass-ceiling-shattering country music icons, are just given. This summer Parton embarks on her Pure & Simple Tour, which coincides with the release of an album of the same name. Like the tour, the double-disc Pure & Simple is filled with Dolly classics and some new tunes. Dollyâ€™s summer dates make up her first major tour in more than two decades. Audiences can expect a scaled-down show with minimal effects and plenty of hits (Yes, â€œJolene,â€ yes, â€œI Will Always Love Youâ€) to sing along to.

          $55-$95

          
        
      
      
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=15295447
"(33.79010, -84.38549)",http://clatl.com/atlanta/Map?oid=1304967,"
      
      
        
        
        
          Oundjian Conducts Berlioz, McDuffie Plays Philip Glass
        
        
        
      

      

      

      
         Sat., June 4, 8 p.m.
      
      
      
      

      
      World/Classical

      
      
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=1304967
"(33.75907, -84.30321)",http://clatl.com/atlanta/Map?oid=1300877,"
      
      
        
CL Recommends

        
        
          Slim Chance & the Convicts 30th Anniversary Celebration
        
        
        
      

      

      

      
         Sat., June 4, 8 p.m.
      
      
      
      

      
      Rock/Pop, Saturday

      
        
           
          

          $7

          
        
      
      
      
        https://www.facebook.com/events/1268731796475285/
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=1300877
"(33.79764, -84.36885)",http://clatl.com/atlanta/Map?oid=1295073,"
      
      
        
CL Recommends

        
        
          Anita Aysola, Mike Fiorello, Joanna Duff
        
        
        
      

      

      

      
         Sat., June 4, 9 p.m.
      
      
      
      

      
      Blues/Jazz

      
        
           
          On those nights when a Manhattan on the rocks satisfies more than an ice-cold beer, the jazzy piano stylings of Anita Aysola go down easy. â€œEmpty Glassâ€ from her debut album, More Than Maybe, slides gently along the ivories as her voice slips over the notes in classic cocktail fashion. She breaks from the mold with â€œLong Way Home,â€ a song that blends her Indian heritage and percussion with a classical jazz tinge. Itâ€™s a stand-out song and a great nod to two beautiful musical traditions.

          $8

          
        
      
      
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=1295073
"(33.73997, -84.34530)",http://clatl.com/atlanta/Map?oid=1305155,"
      
      
        
CL Recommends

        
        
          The Ruination, Eraserfase, Blursome, Obeah, dialogue, Psych Army Deejays
        
        
        
      

      

      

      
         Sat., June 4, 9 p.m.
      
      
      
      

      
      Rock/Pop

      
        
           
          

          $5

          
        
      
      
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=1305155
"(33.78469, -84.41210)",http://clatl.com/atlanta/Map?oid=3215107,"
      
      
        
CL Recommends

        
        
          Est Ars Vitae
        
        
        
      

      

      

      
         First Wednesday-Saturday of every month, 11 a.m.-5 p.m. Continues through June 30
      
      
      
      

      
      Visual Arts

      
        
           
          The name of this exhibition roughly translates to â€œthe art of life.â€ Fittingly, the works on display will present â€œabstractions inspired by natural forms through drawings, paintings, prints, and sculpture.â€ See the curving and organic sculptures of Mike Goodlett and the Zuzka Vaclavikâ€™s botanical-inspired paintings, among pieces by three other participating artists. The opening reception is Thursday night, and the show will run through June 30 at the Poem 88 space in the Floataway Building (conveniently adjacent to Zonolite Park, a 12-acre forest with footpaths, should you desire a walk with your visit).

          Free

          
        
      
      
      
        https://www.facebook.com/Poem88/info/?tab=page_info
      
      
      
      
    ",2016-05-04,http://clatl.com/atlanta/Map?oid=3215107
"(33.77302, -84.40500)",http://clatl.com/atlanta/Map?oid=1303159,"
      
      
        
CL Recommends

        
        
          Before We Blast Off: The Journey of Divine Forces
        
        
        
      

      

      

      
         Thursdays, 11 a.m.-8 p.m., Tuesdays, Wednesdays, Fridays, Saturdays, 11 a.m.-5 p.m. and Sundays, 12-4 p.m. Continues through Nov. 6
      
      
      
      

      
      Visual Arts

      
        
           
          Atlanta Contemporary presents Michi Mekoâ€™s exhibition Before We Blast Off: The Journey of Divine Forces. Mekoâ€™s visual efforts emanate a strong Southern vibe paying more homage to its urban subcultures than an affinity for rocking chairs. The Alabama-born artist manipulates iconography to embody a new meaning, often, like in this collection, taking on themes of perseverance. His fascination with the relationship between physical and psychological is palpable in his work that blends clear, straightforward images with amorphous scribbling and other shapes. In a way, it kinda makes perfect sense Meko funded his Atlanta move with winnings from a gambling match with a flagrant Alabaman gangster. Itâ€™s his mysterious familiarity that draws you in.

          Free

          
        
      
      
      
      
      
      
    ",2016-05-19,http://clatl.com/atlanta/Map?oid=1303159
"(33.76201, -84.35860)",http://clatl.com/atlanta/Map?oid=1301103,"
      
      
        
CL Recommends
Members Pick

        
        
          10 Ways to Ruin Everything
        
        
        
      

      

      

      
         Thursdays-Saturdays, 8 p.m. Continues through June 4
      
      
      
      

      
      Comedy, Theater

      
        
           
          The goofy staging takes on a self-described format akin to a BuzzFeed listicle which â€¦ is not a theatrical approach most of us could possibly find trite. Perry Frost, part of the Woodruff Arts Center family and Dadâ€™s Garageâ€™s youngest improviser, penned the piece. Longtime Dadâ€™s player Matt Horgan (who has writing credits for productions such as Song of the Living Dead: A Zombie Musical and Drove, among others, under his belt) directs. The play investigates some of the most catastrophic snafus in modern human history â€” but donâ€™t expect any heart-shaped gems or unsinkable ships; the website explicitly reads in a parenthetical aside: â€œNote: There will be NO Titanic. Too easy!â€ Points for creativity.

          $7.50-$27.50

          
        
      
      
      
      
      
      
    ",2016-05-12,http://clatl.com/atlanta/Map?oid=1301103
"(33.52021, -84.73225)",http://clatl.com/atlanta/Map?oid=14385011,"
      
      
        
CL Recommends

        
        
          Charlotte's Web
        
        
        
      

      

      

      
        Fridays-Saturdays 11 a.m., Sundays 2 p.m.
      
      
      
      

      
      Theater, Family

      
        
           
          Head to Serenbe Playhouse as itâ€™s transformed into the Animal Village for this adaptation of Charlotteâ€™s Web, based on the classic E.B. White childrenâ€™s book. This all-ages, one-hour play will tell the story of farm pig Wilbur and his unlikely friendship with Charlotte, a spider who forms a plan to help him escape his fate of becoming a meal. As a fun twist, the play with feature live barnyard animals such as piglets, ducks, cows, and horses, as well as a farmland backdrop to immerse audience members into the inspiring tale.

          $10-$20

          
        
      
      
      
      
      
      
    ",2016-05-27,http://clatl.com/atlanta/Map?oid=14385011
"(33.76207, -84.35258)",http://clatl.com/atlanta/Map?oid=1303047,"
      
      
        
CL Recommends

        
        
          The City of Conversation
        
        
        
      

      

      

      
         Wednesdays-Sundays, 8-10:30 p.m., Saturdays, Sundays, 3-5:30 & 8:30-11 p.m. and Sundays, 5-7:30 p.m. Continues through June 26
      
      
      
      

      
      Theater, Summer Guide

      
        
           
          Anthony Giardinaâ€™s 2014 drama City of Conversation comes to Atlanta for a month-long set. Directed by Justin Anderson and set in Washington, D.C., the politically fueled play spans six presidencies and more than 30 years, from the end of Carterâ€™s term to Obamaâ€™s inauguration. The off-Broadway performance follows Hester Ferris and her family, and things take a twist when Hesterâ€™s son brings home a Reagan-supporting girlfriend and a new conservative viewpoint.

          $25-$40

          
        
      
      
      
      
      
      
    ",2016-05-20,http://clatl.com/atlanta/Map?oid=1303047
"(33.76406, -84.39305)",http://clatl.com/atlanta/Map?oid=11087846,"
      
      
        
CL Recommends
Members Pick

        
        
          Talking Drum: Fahamu Pecou
        
        
        
      

      

      

      
         Tuesdays-Saturdays, 10 a.m.-5 p.m. and Sundays, 12-5 p.m. Continues through Aug. 20
      
      
      
      

      
      Visual Arts

      
        
           
          An exhibit by Fahamu Pecou that focuses on the music that undergirded the Civil Rights Movement from 1965 to 1975 and keys in on three distinct locations â€” the street corner, the pulpit, and the stage. Pecou created mini replicas of each space, incorporating sound.

          

          
        
      
      
      
      
      
      
    ",2016-01-23,http://clatl.com/atlanta/Map?oid=11087846
"(33.56676, -84.60177)",http://clatl.com/atlanta/Map?oid=17087102,"
      
      
        
CL Recommends

        
        
          Georgia Renaissance Festival
        
        
        
      

      

      

      
         Saturdays, Sundays, 10:30 a.m.-6 p.m. Continues through June 5
      
      
      
         770-964-8575
      
      

      
      Festivals/Events, Summer Guide

      
        
           
          The Georgia Renaissance Festival is back, featuring outdoor theatre performances with more than 150 shows, 10 stages, circus-style entertainment, an arts and crafts marketplace with more than 150 artisan crafters, and beer pubs.

          Free-$22

          
        
      
      
      
        http://www.garenfest.com
      
      
      
      
    ",2016-04-16,http://clatl.com/atlanta/Map?oid=17087102
"(33.78920, -84.38487)",http://clatl.com/atlanta/Map?oid=1302254,"
      
      
        
CL Recommends
Members Pick

        
        
          Vik Muniz
        
        
        
      

      

      

      
         Tuesdays-Thursdays, Saturdays, 10 a.m.-5 p.m. Continues through Aug. 21
      
      
      
      

      
      Visual Arts

      
        
           
          Close to 120 photographs from this Brazilian artist's collection of work will be on display as part of an international tour.

          Free-$20

          
        
      
      
      
      
      
      
    ",2016-02-28,http://clatl.com/atlanta/Map?oid=1302254
"(33.80960, -84.39306)",http://clatl.com/atlanta/Map?oid=5293531,"
      
      
        
        
        
          4D LEGO NEXO KNIGHTS
        
        
        
      

      

      

      
         Sat., June 4
      
      
      
         404.233.3993
      
      
        krehn@bravepublicrelations.com
      

      
      Family

      
        
           
          Guests can experience the brand new 4D film experience, NEXO KNIGHTS in downtown Atlanta. Viewers will be submerged into a new world full of lava, water, smoke and fights to defeat evil. Follow five knights on a truly unique adventure. The LEGOÂ® NEXO KNIGHTSâ„¢ Merlok 2.0 mobile app, free to download, allows extra power ups and accessories for the film.

          

          
        
      
      
      
        http://www.legolanddiscoverycenter.com/atlanta/
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=5293531
"(33.78581, -84.37420)",http://clatl.com/atlanta/Map?oid=1304117,"
      
      
        
User Submitted

        
        
          Strong4Life Superhero Sprint
        
        
        
      

      

      

      
         Sat., June 4, 7-11:30 a.m.
      
      
      
      

      
      Sports and Health, Summer Guide

      
        
           
          Join the Superhero Sprint for a 5K & one-mile fun-run to help raise funds for Childrenâ€™s Healthcare of Atlanta's Strong4Life movement. Make sure to dress up as a superhero and participate in the costume contest! Participation will benefit Strong4Lifeâ€™s commitment to reversing childhood obesity, and its associated diseases, in Georgia.

          $12-$30

          
        
      
      
      
        http://www.choa.org/superhero
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=1304117
"(33.87757, -84.39678)",http://clatl.com/atlanta/Map?oid=13974953,"
      
      
        
        
        
          OCD Walk
        
        
        
      

      

      

      
         Sat., June 4, 8 a.m.
      
      
      
         404.884.8042
      
      
        Kasey@OCDGeorgia.org
      

      
      Sports and Health, Benefits, Festivals/Events

      
        
           
          OCD Georgia is teaming up with the International OCD Foundation to host a walk to rase awareness and fight stigma for obsessive compulsive disorder (OCD). The walk will raise money and be a time for positive discussion around this anxiety disorder.

          

          
        
      
      
      
        http://www.iocdf.org/walk
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=13974953
"(33.74631, -84.42328)",http://clatl.com/atlanta/Map?oid=17207281,"
      
      
        
User Submitted

        
        
          Community Garden Tour
        
        
        
      

      

      

      
         Sat., June 4, 9 a.m.-12 p.m.
      
      
      
         404-546-6852
      
      
        betty@parkpride.org
      

      
      Farmers Markets, Benefits, Organizations

      
        
           
          Be inspired by what's growing in Atlanta!

This tour will visit four community gardens and urban farms on Atlanta's westside. Members of each garden will be on site to provide an overview of their garden and answer questions. Come fall in love with this growing community and the city!

          $20

          
        
      
      
      
        http://bit.ly/1UCl4tX
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=17207281
"(33.98894, -84.09385)",http://clatl.com/atlanta/Map?oid=15295447,"
      
      
        
User Submitted

        
        
          Generations Expo: 50+ Boomers & Seniors
        
        
        
      

      

      

      
         Sat., June 4, 10 a.m.-3 p.m.
      
      
      
         770-963-9205 x1203
      
      
        Generations@scompapers.com
      

      
      Family

      
        
           
          Over 50? Embrace it and come out to this lifestyle, health and active aging expo. The Generations Expo  features free health screenings, various education seminars, a  community club zone, travel info and  upwards of 100 vendors, plus great prizes. Be sure to check it out!

          $3-$20

          
        
      
      
      
        http://www.generationsexpo.com
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=15295447
"(33.78920, -84.38487)",http://clatl.com/atlanta/Map?oid=1302254,"
      
      
        
User Submitted

        
        
          Museums on Us
        
        
        
      

      

      

      
         Sat., June 4, 10 a.m.-5 p.m. and Sun., June 5, 12-5 p.m.
      
      
      
      

      
      Summer Guide, Family

      
        
           
          Summer is the perfect opportunity to explore Atlanta. Bank of America and Merrill Lynch offer debit/credit cardholders free admission to participating museums the first weekend of every month. Check out The Center for Civil and Human Rights, the Atlanta History Center, and the High Museum of Art this weekend!

          Free

          
        
      
      
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=1302254
"(33.79274, -84.39807)",http://clatl.com/atlanta/Map?oid=1296195,"
      
      
        
        
        
          West Elm + SCAD Atlanta Pop-Up
        
        
        
      

      

      

      
         Sat., June 4, 10 a.m.-8 p.m.
      
      
      
      

      
      Visual Arts

      
        
           
          Looking for some new decor for your office or home?

Join Savannah College of Art & Design AtlantaÂ students andÂ West Elm AtlantaÂ in a celebration ofÂ local art and local achievement!

This pop-up offers you the chance to explore the ""Next Best Thing"" coming from SCAD Atlanta, featuring handmade and designed products in all types of mediums, includnig textiles, photography, and more.Â 

This special two-day pop-up takes place right outside of Atlanta's first West Elm location in Atlantic Station onÂ Friday, June 3Â throughÂ Sunday, June 5.

          

          
        
      
      
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=1296195
"(34.01478, -84.22279)",http://clatl.com/atlanta/Map?oid=7114297,"
      
      
        
User Submitted

        
        
          Introduction to Watercolors
        
        
        
      

      

      

      
         Sat., June 4, 10:30 a.m.-12 p.m.
      
      
      
         770-360-8820
      
      
        karen.swenson@fultoncountyga.gov
      

      
      Visual Arts

      
        
           
          Join Johns Creek Art Center instructors for an Introduction to Watercolors workshop, open to adults and teens 15 years and older. Registration required by June 2 due to limited class space.

          Free

          
        
      
      
      
        http://www.afpls.org
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=7114297
"(33.77196, -84.35282)",http://clatl.com/atlanta/Map?oid=1301756,"
      
      
        
User Submitted

        
        
          ATL Tattoo Fest
        
        
        
      

      

      

      
         Sat., June 4, 12-5 p.m.
      
      
      
      

      
      Food Festivals and Events, Benefits, Food and Drink

      
        
           
          Presented by Sweet Urburn BBQ, come out and enjoy the inaugural ATL Tattoo Fest. The day will be filled with entertainment, live music, PBR and Sailor Jerry, tattoo competitions and more. All funds form the event benefit The Giving Kitchen.

          $5

          
        
      
      
      
        https://www.facebook.com/events/153530781716543/
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=1301756
"(33.76678, -84.36324)",http://clatl.com/atlanta/Map?oid=15389718,"
      
      
        
User Submitted

        
        
          Chicken Pickin' Brunch
        
        
        
      

      

      

      
         Sat., June 4, 12:30 p.m.
      
      
      
         470-225-6162
      
      

      
      Food Festivals and Events

      
        
           
          Venkmanâ€™s Wednesday night Chicken Pickinâ€™ is making a move this summer and will now be held during Saturday brunch! Starting at 12:30 p.m. every Saturday, guests can enjoy classic bluegrass, western and country inspired bands as they dine on special chicken dishes from Chef Nick Melvin along with bottomless mimosas.

          

          
        
      
      
      
        http://www.venkmans.com
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=15389718
"(34.04118, -83.99307)",http://clatl.com/atlanta/Map?oid=14736648,"
      
      
        
User Submitted

        
        
          2016 Gwinnett Beer Fest
        
        
        
      

      

      

      
         Sat., June 4, 1-5 p.m.
      
      
      
         678-482-2270
      
      
        info@gwinnettbeerfest.com
      

      
      Festivals/Events

      
        
           
          Join others for some summer fun and come to the second annual Gwinnett Beer Fest. With over 150 craft beers, live music, entertainment and more, this event is bound to become one of the best craft beer events in the South! Tickets are $40 for general admission and $110 for VIP.

          $40-$110

          
        
      
      
      
        http://www.gwinnettbeerfest.com
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=14736648
"(33.77892, -84.38440)",http://clatl.com/atlanta/Map?oid=1294916,"
      
      
        
User Submitted

        
        
          Jokin' Off: A Comedy Battle
        
        
        
      

      

      

      
         Sat., June 4, 4:30-6:30 p.m.
      
      
      
         877-523-3288
      
      
        info@laughingskulllounge.com
      

      
      Comedy

      
        
           
          Jokin' Off is a rapid fire, single elimination one liner tournament hosted by Atlanta Comedian Greg Behrens. Eight of the best comedians around the city will test their wit and rely solely on their joke writing as they battle it out for big laughs and bragging rights.

          $12

          
        
      
      
      
        https://www.facebook.com/events/1684343551818990/
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=1294916
"(33.78610, -84.38429)",http://clatl.com/atlanta/Map?oid=1299509,"
      
      
        
User Submitted

        
        
          Culture Club
        
        
        
      

      

      

      
         Sat., June 4, 6-10 p.m.
      
      
      
      

      
      Special Events

      
        
           
          Come expereince true culture, with special guests Eva Kennedy Band, DJ Jamad, Abyss and Eric Nine. There will be art, music, food and poetry. See, hear, taste... the Soundtrack.

          $10-$20

          
        
      
      
      
        https://www.facebook.com/events/103611516721070/
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=1299509
"(33.71194, -84.40571)",http://clatl.com/atlanta/Map?oid=17148475,"
      
      
        
User Submitted

        
        
          2nd Annual Pink Champagne Gala
        
        
        
      

      

      

      
         Sat., June 4, 6:30-9:30 p.m.
      
      
      
         770-765-5885
      
      
        chargeupcampaign@gmail.com
      

      
      Benefits

      
        
           
          Simply Charessa's Charge Up Campaign and The Table Talk Series is excited to host this amazing jaw dropping affair with special guests and performances. This event focuses on bringing awareness to and celebrating cancer survivors

          

          
        
      
      
      
        http://www.eventbrite.com/e/charge-up-campaign-presents-2nd-annual-pink-champagne-gala-tickets-19811433531
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=17148475
"(33.79209, -84.38800)",http://clatl.com/atlanta/Map?oid=1295141,"
      
      
        
        
        
          Afton Showcase
        
        
        
      

      

      

      
         Sat., June 4, 6:30 p.m.
      
      
      
      

      
      Rock/Pop

      
        
           
          

          $12-$15

          
        
      
      
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=1295141
"(33.83872, -84.38005)",http://clatl.com/atlanta/Map?oid=17100895,"
      
      
        
        
        
          Doggies on the Catwalk
        
        
        
      

      

      

      
         Sat., June 4, 7 p.m.
      
      
      
      

      
      Benefits

      
        
           
          The ninth annual event will include the latest trends with dogs accompanying the models. This event will benefit Canine Assistants, who provides service dogs to assist children and adults with physical disabilities or other special needs. Complimentary cocktails and passed hors dâ€™oeuvres are included in the ticket price, as well as the silent auction and fashion show.

          $50-$150

          
        
      
      
      
        http://www.fashionado.net
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=17100895
"(33.77104, -84.36480)",http://clatl.com/atlanta/Map?oid=1294950,"
      
      
        
User Submitted

        
        
          Jet Black Alley Cat
        
        
        
      

      

      

      
         Sat., June 4, 7 p.m.
      
      
      
      
        masq.promo@gmail.com
      

      
      Rock/Pop

      
        
           
          Rock pop music group Jet Black Alley Cat will perform in Atlanta this summer. They are known for this hits like Poison, and Memphis Blues. Tickets must be bought in advance.

          $10

          
        
      
      
      
        https://www.facebook.com/events/1003485433033784
      
      
      
      
    ",2016-06-04,http://clatl.com/atlanta/Map?oid=1294950
